Time (ms), Ch 0 (volts)
  0.21125,       3.4268
  0.21150,       3.4220
  0.21175,       3.4220
  0.21200,       3.4220
  0.21225,       3.4244
  0.21250,       3.4196
  0.21275,       3.4244
  0.21300,       3.4196
  0.21325,       3.4220
  0.21350,       3.4220
  0.21375,       3.4220
  0.21400,       3.4220
  0.21425,       3.4268
  0.21450,       3.4220
  0.21475,       3.4196
  0.21500,       3.4244
  0.21525,       3.4293
  0.21550,       3.4220
  0.21575,       3.4244
  0.21600,       3.4220
  0.21625,       3.4244
  0.21650,       3.4220
  0.21675,       3.4244
  0.21700,       3.4196
  0.21725,       3.4268
  0.21750,       3.4268
  0.21775,       3.4244
  0.21800,       3.4244
  0.21825,       3.4244
  0.21850,       3.4268
  0.21875,       3.4220
  0.21900,       3.4244
  0.21925,       3.4268
  0.21950,       3.4293
  0.21975,       3.4244
  0.22000,       3.4220
  0.22025,       3.4244
  0.22050,       3.4220
  0.22075,       3.4268
  0.22100,       3.4220
  0.22125,       3.4293
  0.22150,       3.4220
  0.22175,       3.4244
  0.22200,       3.4172
  0.22225,       3.4317
  0.22250,       3.4268
  0.22275,       3.4341
  0.22300,       3.4123
  0.22325,       3.4268
  0.22350,       3.4196
  0.22375,       3.4293
  0.22400,       3.4293
  0.22425,       3.4268
  0.22450,       3.4244
  0.22475,       3.4293
  0.22500,       3.4196
  0.22525,       3.4293
  0.22550,       3.4196
  0.22575,       3.4293
  0.22600,       3.4244
  0.22625,       3.4268
  0.22650,       3.4244
  0.22675,       3.4293
  0.22700,       3.4244
  0.22725,       3.4268
  0.22750,       3.4196
  0.22775,       3.4268
  0.22800,       3.4220
  0.22825,       3.4196
  0.22850,       3.4172
  0.22875,       3.4244
  0.22900,       3.4196
  0.22925,       3.4293
  0.22950,       3.4196
  0.22975,       3.4244
  0.23000,       3.4244
  0.23025,       3.4293
  0.23050,       3.4268
  0.23075,       3.4293
  0.23100,       3.4244
  0.23125,       3.4293
  0.23150,       3.4220
  0.23175,       3.4268
  0.23200,       3.4244
  0.23225,       3.4317
  0.23250,       3.4244
  0.23275,       3.4268
  0.23300,       3.4244
  0.23325,       3.4268
  0.23350,       3.4244
  0.23375,       3.4293
  0.23400,       3.4220
  0.23425,       3.4196
  0.23450,       3.4268
  0.23475,       3.4220
  0.23500,       3.4196
  0.23525,       3.4293
  0.23550,       3.4244
  0.23575,       3.4244
  0.23600,       3.4220
  0.23625,       3.4244
  0.23650,       3.4220
  0.23675,       3.3857
  0.23700,       3.4244
  0.23725,       3.4220
  0.23750,       3.4196
  0.23775,       3.4317
  0.23800,       3.4220
  0.23825,       3.4268
  0.23850,       3.4244
  0.23875,       3.4268
  0.23900,       3.4244
  0.23925,       3.4268
  0.23950,       3.4268
  0.23975,       3.4268
